1699455160.000000, 1699455160.000000, 1699455160.000000
32.000000, 32.000000, 32.000000
59,11,14
59,11,14
60,11,14
59,11,14
59,11,14
60,11,14
60,11,14
60,11,14
60,11,14
59,11,14
59,11,14
59,12,14
59,11,14
59,11,14
60,11,14
59,12,14
60,12,14
59,12,14
60,12,14
60,12,14
60,11,14
59,12,14
59,12,14
59,12,14
58,12,14
59,12,14
59,12,15
60,12,14
60,12,14
60,12,15
59,12,13
60,12,14
60,12,14
60,12,14
60,12,14
59,12,14
60,12,14
59,12,13
59,12,12
60,12,12
61,12,13
58,13,11
60,13,11
61,12,14
62,13,15
58,15,12
58,13,11
60,13,11
59,13,14
59,13,14
59,13,12
58,12,14
61,13,13
61,13,13
57,14,12
57,13,13
63,12,12
56,13,11
65,12,15
62,13,13
56,13,13
61,13,15
62,13,15
59,13,13
59,12,14
60,13,15
59,13,14
59,12,14
58,13,15
59,13,15
59,13,14
58,13,13
60,12,15
59,13,13
59,13,13
59,13,13
60,14,13
60,14,13
61,14,9
61,11,9
62,12,16
60,15,14
58,15,12
58,15,13
59,14,14
59,13,13
58,12,12
58,13,12
58,13,11
58,12,11
61,12,13
61,13,13
60,13,13
61,13,12
61,13,13
59,15,13
60,13,11
60,11,9
62,11,15
67,11,18
60,14,13
57,13,11
58,13,12
58,13,12
57,13,11
58,12,12
58,12,12
59,11,12
61,11,12
61,11,12
61,11,13
61,11,12
61,11,12
60,11,12
60,11,12
61,11,12
61,11,12
61,10,12
60,10,12
61,10,12
61,10,13
60,10,12
60,10,13
61,10,13
61,10,13
60,11,12
61,11,11
61,10,12
61,10,11
60,10,11
59,11,12
58,12,13
59,12,14
59,12,14
61,12,15
60,11,15
61,11,15
60,10,14
60,11,14
61,11,14
60,11,13
61,10,14
61,10,14
60,10,13
60,10,13
60,10,13
59,11,12
59,11,12
58,12,12
59,11,13
58,12,12
60,13,13
60,13,13
58,14,14
59,14,14
61,15,14
60,15,15
59,15,16
59,15,16
60,14,16
60,13,16
59,13,15
59,12,15
58,12,14
58,12,14
58,13,14
59,13,13
58,14,14
59,14,15
59,14,15
58,13,14
57,13,14
58,12,14
58,13,15
58,13,14
58,13,13
60,13,14
61,12,15
59,11,16
56,12,16
56,14,16
57,15,17
58,16,18
64,14,20
65,12,20
64,8,17
60,8,15
55,12,14
54,15,15
55,16,16
57,15,19
59,14,19
63,12,20
62,9,18
61,9,16
60,10,15
62,9,16
60,8,16
59,8,16
58,9,16
57,11,15
55,11,16
61,10,18
62,10,16
60,10,15
63,8,19
62,9,19
62,11,16
58,10,16
60,10,16
57,11,14
58,12,14
59,11,15
57,11,16
58,11,15
60,12,15
59,12,14
57,13,14
59,12,16
60,13,16
59,13,14
59,13,15
60,13,17
61,13,15
58,13,16
59,12,16
60,13,12
59,10,15
59,12,16
61,13,15
58,11,15
59,12,15
58,11,14
60,11,14
60,11,15
59,12,14
59,12,14
59,11,15
59,11,14
58,11,14
59,11,15
58,11,15
60,12,15
60,11,14
61,10,15
61,9,14
62,9,14
62,8,13
62,8,12
62,8,11
62,7,11
61,6,11
59,6,10
59,7,9
60,7,9
60,7,8
63,6,9
61,6,8
63,5,9
63,5,10
58,4,10
57,5,10
59,5,10
58,7,10
61,7,10
58,5,12
62,4,13
64,3,11
62,2,12
62,2,12
62,2,12
60,1,13
61,0,15
60,1,14
59,0,12
58,-1,14
60,-1,15
59,0,15
61,0,14
60,-1,14
61,-2,15
62,-2,15
61,-3,14
61,-4,13
60,-4,14
60,-5,14
60,-5,15
60,-5,15
59,-6,15
60,-6,15
59,-7,15
59,-7,14
62,-9,15
61,-8,14
60,-8,14
59,-7,13
59,-7,12
59,-7,13
61,-6,13
61,-7,13
60,-7,13
60,-6,14
60,-7,15
59,-6,15
59,-6,15
59,-7,16
59,-7,16
60,-8,16
60,-8,17
60,-8,17
60,-8,17
60,-8,16
59,-8,16
59,-7,16
60,-6,16
59,-6,15
59,-6,15
60,-5,15
60,-6,16
60,-5,16
60,-6,16
60,-6,16
59,-6,15
59,-6,16
58,-6,16
59,-6,15
59,-6,15
59,-5,16
60,-6,16
61,-6,16
60,-5,17
61,-6,17
60,-6,17
59,-7,16
59,-6,16
57,-6,15
57,-5,14
57,-5,14
57,-6,14
58,-5,14
57,-6,14
57,-6,14
58,-7,15
57,-7,15
58,-7,15
59,-9,16
61,-8,17
61,-9,19
60,-8,19
59,-8,19
58,-8,19
58,-9,19
56,-9,20
56,-9,20
55,-9,21
53,-9,21
52,-9,21
51,-9,19
46,-10,17
43,-12,15
35,-11,10
42,-13,13
53,-25,16
49,-24,16
54,-26,19
52,-26,18
46,-26,14
45,-28,18
43,-29,15
39,-28,11
46,-35,18
30,-39,15
36,-52,15
49,-64,14
41,-65,11
31,-68,6
35,-70,8
32,-67,5
25,-68,2
23,-68,0
30,-68,3
25,-66,4
16,-63,2
20,-64,6
23,-65,6
29,-68,8
22,-71,1
22,-74,-4
22,-76,7
22,-78,6
34,-78,8
42,-83,18
19,-84,1
29,-78,8
45,-71,16
61,-61,31
49,-53,32
31,-29,28
34,-19,20
27,-12,15
27,-11,12
27,-11,12
22,-18,11
23,-17,0
63,-21,8
30,-31,21
35,-36,34
31,-32,42
44,-32,45
38,-32,45
34,-34,45
25,-35,49
21,-31,51
27,-27,43
28,-27,43
30,-27,41
26,-26,39
27,-28,46
29,-30,48
25,-27,44
35,-25,43
26,-28,42
30,-28,43
31,-28,44
29,-28,44
30,-28,47
30,-27,46
31,-28,44
34,-28,47
30,-26,46
35,-30,45
34,-30,45
32,-28,45
29,-25,43
31,-27,45
33,-26,47
31,-26,46
32,-25,44
34,-25,45
33,-25,44
32,-25,44
32,-25,45
32,-26,44
32,-26,46
33,-25,47
33,-25,48
33,-24,48
32,-24,46
33,-25,48
33,-25,48
30,-23,48
28,-23,47
31,-23,47
29,-22,45
30,-22,47
30,-20,48
29,-21,47
27,-22,47
28,-24,49
28,-23,47
27,-21,43
28,-21,42
31,-20,39
28,-21,35
28,-19,30
55,-24,27
53,-25,23
51,-22,19
67,-25,21
64,-24,19
67,-23,13
67,-25,11
69,-26,10
64,-27,8
61,-27,5
59,-29,4
58,-31,7
35,-41,-11
74,-17,2
65,-21,-3
61,-27,2
63,-25,-1
75,-26,6
69,-26,14
58,-27,8
49,-12,-13
29,-12,-17
50,-15,13
45,-12,18
37,-8,13
64,-2,-10
72,-4,-18
81,-2,-28
51,-15,-45
36,-25,-46
55,3,-34
40,-15,-38
61,-11,-31
53,-18,-23
49,-17,-23
56,-16,-32
67,-11,-26
60,-12,-19
61,-11,-23
59,-12,-24
73,-19,-14
77,-11,-9
55,-11,-10
59,-17,3
54,-14,3
58,-13,2
56,-13,1
64,-13,8
61,-11,8
62,-10,7
63,-9,5
65,-9,2
60,-9,2
62,-6,-4
58,-9,-6
58,-9,6
59,-11,10
59,-7,9
61,-8,9
61,-9,7
61,-9,9
59,-9,9
61,-8,9
60,-7,7
60,-8,8
60,-8,8
62,-7,7
63,-5,5
60,-7,6
60,-5,4
65,-5,2
65,-4,2
63,-4,2
63,-2,4
61,-2,4
61,-3,5
62,-2,5
59,-3,2
58,-3,3
63,-3,4
62,-3,2
60,-4,1
61,-5,2
62,-5,2
60,-4,1
60,-3,-2
61,-4,-3
62,-4,-4
66,-4,-6
64,-3,-7
62,-3,-9
64,-3,-8
62,-4,-8
61,-3,-10
63,-2,-9
62,-2,-12
61,-2,-12
64,-2,-11
63,-1,-11
60,-1,-11
62,-2,-10
63,-2,-10
61,-1,-10
60,-2,-10
64,-1,-10
63,-1,-10
62,-1,-9
61,-1,-10
62,-2,-8
61,-2,-7
61,-2,-4
60,-3,-6
63,-2,-4
64,-1,-1
56,-3,0
65,5,-14
74,-3,4
44,-6,14
49,-7,17
55,-9,29
44,0,27
59,-1,27
68,0,15
69,-6,15
63,-1,5
61,-18,2
49,-22,13
29,-15,12
45,-26,19
59,-23,17
57,-24,7
60,-25,2
67,-26,-1
67,-26,-4
69,-32,-9
74,-35,-4
69,-35,-10
57,-32,-10
42,-21,-20
59,-20,-37
51,-32,-22
51,-28,-12
42,-33,-27
40,-16,-15
50,-15,-6
55,-29,-5
59,-29,-3
63,-31,5
62,-32,5
56,-34,7
60,-31,5
57,-31,1
54,-31,-6
55,-32,-6
54,-32,-9
54,-33,-9
55,-33,-9
55,-31,-10
53,-21,-17
68,-31,-13
55,-26,-19
57,-26,-22
65,-28,-19
62,-30,-19
55,-22,-19
64,-26,-10
54,-4,-15
47,-2,-14
50,-7,-13
59,-7,-10
46,0,-14
42,0,-19
57,-7,-11
61,-10,-13
61,-10,-13
62,-13,-9
62,-14,-9
62,-15,-16
65,-17,-24
78,-13,-51
88,-5,-34
82,2,-30
80,21,-37
24,19,-22
21,5,-7
23,3,-29
32,0,-40
37,-8,-42
58,-26,-53
54,-36,-56
49,-38,-55
47,-38,-45
36,-25,-43
30,-14,-40
21,-2,-11
58,1,7
89,4,0
95,1,-30
84,-5,-41
64,-12,-28
39,-18,-34
31,-15,-33
45,-20,-25
37,-23,19
16,-27,38
80,-31,-125
109,-80,-99
44,33,-9
8,-95,-52
47,-45,-31
50,-46,-28
32,-24,-32
26,-31,-8
31,-31,4
46,-27,6
28,-25,7
22,-25,4
45,-37,7
46,-40,4
65,-42,1
57,-44,-10
48,-47,-7
39,-50,-1
39,-50,2
39,-52,3
36,-53,1
32,-55,2
29,-59,2
26,-61,1
34,-62,2
27,-65,-4
37,-67,1
37,-65,-2
35,-65,-1
20,-65,-14
36,-68,-5
30,-68,-7
19,-69,-17
21,-70,-20
35,-72,-11
38,-80,-2
32,-80,-15
35,-80,-11
36,-84,-6
25,-83,-4
33,-80,-1
44,-74,5
53,-65,16
51,-56,18
50,-44,19
47,-31,20
40,-25,19
35,-19,28
30,-17,25
36,-6,28
46,-6,27
38,-4,16
35,-6,15
32,-2,10
47,-1,12
46,1,15
43,1,16
41,2,15
50,7,16
62,8,18
54,11,15
57,12,17
54,14,16
54,14,15
58,14,19
66,12,18
58,14,13
62,15,14
64,16,15
59,17,13
55,17,15
55,17,15
58,18,14
60,19,15
59,19,14
55,19,13
55,19,14
55,21,13
57,21,13
57,21,12
57,22,12
58,22,12
56,23,11
56,23,11
56,24,11
58,24,11
56,24,11
55,25,10
54,25,10
57,25,11
56,25,10
56,25,10
55,26,11
56,25,10
57,25,10
55,26,10
56,26,10
56,26,10
56,26,10
56,26,9
57,26,10
57,26,9
57,26,9
57,26,9
56,26,9
56,26,9
55,26,8
56,26,9
55,26,9
56,26,9
55,26,8
56,27,9
56,26,9
55,26,8
57,26,9
56,26,9
57,27,9
56,26,9
55,26,9
57,26,9
56,26,9
57,26,9
56,26,10
56,26,9
56,26,9
56,26,10
55,26,9
56,26,9
57,26,9
58,26,7
58,26,6
57,25,5
57,23,6
58,22,6
52,23,4
53,24,5
56,25,7
59,24,10
63,24,12
64,23,15
57,23,14
56,23,14
59,22,14
60,23,13
57,23,12
58,22,11
57,21,10
57,20,9
56,21,9
55,23,8
57,23,8
56,23,8
57,23,6
58,22,6
58,22,6
60,23,7
61,22,8
59,22,8
58,22,8
59,21,8
59,21,8
58,21,8
57,20,6
56,20,5
57,21,5
56,22,6
57,21,6
58,22,7
59,22,7
59,22,7
59,22,7
59,22,7
61,22,8
59,22,8
58,22,8
58,22,8
58,22,8
57,22,9
57,22,9
57,23,9
58,22,9
58,22,9
58,21,8
58,22,8
59,21,9
57,23,8
58,22,9
57,22,9
58,22,8
58,22,8
58,22,8
57,22,8
57,22,9
58,22,9
58,22,8
57,22,9
57,22,8
57,22,8
58,21,8
58,21,8
57,22,8
57,22,8
59,22,8
57,22,8
56,23,8
57,24,8
58,24,9
57,23,9
57,23,10
61,22,10
60,20,9
59,19,9
60,19,9
60,18,8
60,18,6
60,17,6
59,17,6
57,18,4
58,19,4
58,20,4
58,20,6
58,21,7
61,21,8
62,21,9
61,20,9
60,21,8
61,20,8
58,20,7
57,21,7
57,21,7
57,21,8
58,20,9
58,20,9
59,20,10
60,20,9
60,20,10
60,20,9
61,20,9
60,19,8
60,19,8
57,20,7
56,20,8
56,21,9
58,21,9
61,18,10
60,18,10
61,18,10
60,18,9
58,18,8
57,19,7
56,20,7
55,21,8
56,22,10
59,22,11
62,19,12
62,19,11
63,16,12
59,16,9
58,17,8
55,18,7
56,21,6
57,22,7
57,23,9
60,23,10
59,25,12
56,26,12
54,36,10
54,33,3
61,25,7
62,18,9
65,16,9
65,11,9
66,6,10
64,4,10
62,1,7
60,-1,5
55,1,5
55,3,8
55,6,7
55,11,4
58,14,1
59,16,2
61,17,3
64,18,4
68,18,7
66,17,8
66,16,8
66,14,8
67,14,9
68,10,11
66,7,9
66,5,9
61,3,7
60,4,6
62,4,7
63,5,8
61,5,9
60,4,10
60,4,10
60,4,10
59,6,9
61,6,11
62,8,10
62,9,11
64,11,11
66,11,10
62,12,10
60,11,10
61,11,11
61,12,11
57,13,10
56,14,9
58,14,8
56,14,8
57,15,9
58,14,10
59,15,9
59,16,6
60,15,6
62,14,6
62,14,5
60,13,7
58,15,9
58,15,10
62,15,9
62,15,9
59,13,8
60,12,8
60,12,8
61,11,7
61,10,6
62,8,5
59,5,4
58,5,4
60,8,5
62,8,6
67,5,7
69,1,7
66,0,7
66,-3,6
65,-3,6
62,-3,7
60,-3,7
59,-3,8
61,-4,8
61,-5,8
59,-7,7
60,-7,7
60,-7,7
57,-4,6
56,-2,6
60,0,7
65,1,9
67,1,9
68,-1,8
69,-2,7
66,-3,5
62,-2,3
60,-1,2
59,1,0
59,2,0
62,2,3
59,3,8
59,5,9
58,9,9
58,10,10
57,10,11
64,13,11
71,11,13
65,5,11
58,7,8
60,8,10
58,10,8
55,10,7
48,10,7
49,13,9
60,18,11
81,14,15
80,8,17
59,7,13
62,8,15
65,12,15
56,13,12
56,13,12
55,15,13
54,15,13
53,15,12
59,15,15
59,15,15
56,15,14
58,14,14
61,14,15
61,14,14
60,14,14
62,14,14
62,14,14
63,12,13
58,11,12
59,10,14
66,14,19
59,14,16
53,14,10
60,13,18
57,13,19
59,13,13
55,14,12
61,15,15
59,16,13
59,16,12
58,16,14
59,15,14
58,15,15
57,16,15
57,15,15
61,16,17
60,15,16
59,15,15
59,15,16
58,14,15
59,14,16
60,15,17
58,15,16
57,15,16
57,15,16
56,17,16
56,17,16
56,17,16
60,15,17
59,15,17
58,15,16
58,15,15
59,14,15
57,14,16
57,14,16
56,16,17
57,16,18
58,16,19
59,15,18
60,14,18
62,13,18
61,13,17
61,11,16
56,9,17
55,11,17
54,12,17
52,14,17
59,13,19
59,11,22
59,11,21
61,9,21
62,8,19
62,8,18
61,8,17
61,7,17
58,5,15
58,4,14
58,4,13
59,3,11
60,2,10
61,1,9
61,1,8
61,0,10
62,0,10
61,0,9
60,-1,9
61,-1,10
63,-3,9
61,-5,10
61,-4,10
60,-4,10
60,-4,10
60,-4,10
62,-4,10
61,-5,10
60,-5,10
59,-4,11
60,-4,12
61,-4,12
61,-4,13
61,-3,13
61,-4,13
61,-5,13
61,-4,13
61,-3,13
59,-3,14
61,-2,13
61,-2,14
60,-2,14
61,-2,15
61,-2,15
61,-3,14
61,-2,14
59,-1,14
59,0,14
57,0,14
57,0,14
58,1,16
58,0,16
57,1,16
59,1,16
57,0,15
55,1,13
56,1,13
54,0,12
47,2,9
50,1,11
49,-2,7
55,-9,14
51,-15,14
49,-18,14
50,-17,12
45,-16,12
49,-20,18
55,-26,17
52,-22,13
50,-25,16
55,-31,18
53,-33,13
55,-35,18
54,-44,20
48,-48,17
37,-53,7
53,-60,12
51,-59,9
40,-59,2
38,-59,2
36,-58,-2
35,-63,-1
36,-67,-1
31,-68,2
28,-66,-1
27,-66,1
27,-69,2
27,-72,4
33,-73,2
42,-75,11
38,-73,6
41,-76,9
36,-73,11
52,-65,17
54,-60,16
50,-41,16
50,-27,14
42,-23,10
40,-18,-7
40,-14,-14
41,-13,-18
52,-22,-15
43,-26,-20
49,-24,-25
53,-26,-19
69,-28,-3
60,-25,1
61,-23,6
60,-10,-1
60,-4,0
60,-3,-9
78,-7,-10
78,-16,5
62,-5,-2
62,-7,2
55,-9,14
34,-2,5
39,-1,5
47,-6,6
49,-4,6
64,-8,14
66,-10,6
66,-8,6
60,-3,7
56,-2,5
59,-1,6
59,-2,6
59,-2,4
63,-3,-1
66,-3,3
63,-10,15
59,-4,2
65,0,-7
92,2,-8
95,-4,4
57,-5,5
47,-5,5
39,-9,-8
65,-28,12
65,-4,8
60,-8,13
50,1,9
55,2,11
59,-4,29
57,1,28
59,6,17
66,5,15
62,3,13
61,-1,14
68,-2,19
60,-3,22
58,-1,21
60,-2,22
44,0,24
54,0,23
66,0,18
57,0,10
55,-1,13
65,-5,21
70,-4,22
56,-2,14
61,-2,12
60,-2,12
59,-1,15
60,0,15
52,1,14
56,-2,19
62,-3,21
64,-1,16
62,-1,13
62,-1,12
60,-2,15
59,-2,16
63,-2,17
60,-2,16
59,-2,14
56,-3,18
57,-3,18
59,-4,18
58,-4,18
57,-2,18
60,-1,19
60,-1,18
60,-2,18
61,-3,18
62,-4,18
62,-4,17
59,-5,17
59,-5,17
59,-5,17
58,-6,14
60,-5,14
61,-5,15
60,-4,14
59,-4,14
60,-3,15
61,-2,16
61,-2,16
60,-2,16
61,-3,15
59,-3,16
60,-3,15
59,-3,15
60,-4,15
60,-5,15
61,-5,14
61,-4,14
59,-3,13
60,-3,13
61,-3,13
61,-2,13
61,-3,14
62,-3,13
61,-3,13
61,-2,13
61,-2,12
61,-2,12
61,-2,12
61,-2,12
61,-1,12
62,-1,13
61,-2,13
60,-2,11
58,-2,10
59,-1,10
61,-1,11
61,0,10
60,1,9
60,0,8
60,0,8
56,0,5
56,-1,1
60,-2,1
63,-3,0
66,-2,0
66,-1,-1
62,0,-2
63,0,-1
65,-2,-3
64,-2,-2
62,-1,-3
65,-2,-4
59,-5,-6
60,-6,6
65,-4,2
61,-7,-10
59,-7,-9
65,-6,-5
66,-7,-7
58,-7,-8
64,-5,-3
66,-6,-4
61,-6,-7
59,-6,-4
59,-4,-3
46,-5,-10
33,-7,-11
21,-9,-7
38,-18,8
42,-17,7
57,-19,12
127,-39,44
13,-28,-29
111,-46,18
89,-38,10
67,-43,-4
68,-46,-5
68,-50,-11
67,-51,-5
57,-51,-6
43,-47,-25
57,-48,-24
42,-59,-22
27,-50,-33
48,-49,-26
52,-45,-15
37,-28,-17
64,-43,-16
45,-37,-15
40,-5,-25
39,-4,-33
44,-13,-37
53,2,-14
48,-10,-18
57,0,-22
61,-2,-22
69,-5,-20
71,-12,-21
64,-16,-23
70,-23,-19
45,-22,-19
36,-19,-19
35,-11,-27
44,-13,-26
49,-14,-18
77,-18,-16
79,-15,-24
66,-14,-36
37,-13,-45
39,-9,-40
38,-15,-26
38,-20,-19
36,-22,-47
55,-16,-53
62,-16,-28
52,-23,-7
45,-18,-39
73,-17,-39
65,-19,-34
58,-26,-49
76,-23,4
72,-22,28
34,-7,-3
54,-6,-31
