1698246109.000000, 1698246109.000000, 1698246109.000000
32.000000, 32.000000, 32.000000
38,-31,-17
42,-27,-17
50,-28,-18
59,-30,-20
61,-32,-20
61,-33,-20
62,-35,-19
60,-34,-18
55,-34,-19
53,-34,-19
49,-36,-20
47,-34,-18
45,-34,-18
42,-30,-17
42,-30,-17
47,-29,-18
50,-27,-19
52,-26,-21
54,-27,-22
56,-25,-21
56,-22,-21
55,-20,-20
55,-19,-19
57,-21,-18
59,-23,-19
59,-26,-19
57,-29,-18
57,-31,-20
57,-38,-22
57,-41,-24
49,-43,-24
43,-42,-20
41,-41,-20
36,-39,-21
36,-38,-21
41,-35,-21
43,-34,-23
43,-33,-22
47,-31,-21
50,-31,-22
55,-29,-24
56,-27,-22
56,-26,-22
57,-24,-21
57,-23,-21
57,-23,-21
57,-24,-20
57,-24,-20
57,-25,-19
57,-25,-19
61,-26,-18
66,-23,-15
68,-23,-14
72,-23,-10
71,-22,-9
72,-23,-3
66,-23,6
66,-24,12
58,-27,6
52,-29,1
38,-28,11
24,-29,23
17,-23,18
35,-26,18
46,-27,19
42,-25,17
45,-22,19
54,-25,20
66,-29,14
68,-28,8
86,-21,0
82,-9,2
66,-13,-9
56,-8,-14
60,-5,-14
63,-10,-17
61,-20,-21
59,-22,-24
60,-21,-22
58,-25,-24
61,-30,-24
44,-33,-15
37,-35,-21
36,-40,-12
34,-31,-5
37,-19,-18
69,1,-35
56,-1,-43
73,3,-49
64,2,-46
46,-21,-31
53,-29,-34
11,-31,-13
51,-38,-17
72,-50,-14
51,-27,-25
42,-26,-45
34,-25,-49
26,-26,-69
38,-33,-57
51,-29,-36
42,-27,-39
37,-34,-41
41,-39,-27
38,-37,-26
53,-37,-37
45,-35,-39
32,-13,-18
50,-14,-13
64,-21,-5
60,-12,-50
74,-12,-47
44,-15,-38
65,-28,-31
72,-31,-33
56,-31,-18
49,-31,-11
42,-34,-15
31,-36,-19
22,-40,-21
26,-39,-51
37,-52,-56
58,-41,-35
63,-46,-63
49,-53,-80
56,-34,-39
21,-49,-57
29,-8,-67
37,-11,-28
32,-7,-20
17,9,-12
26,3,0
27,-7,-13
57,-29,-26
57,-40,-13
35,-56,-13
16,-67,-40
58,-69,-49
19,-72,-31
1,-68,-62
5,-49,-48
26,-44,-55
2,-46,-50
-19,-48,-56
8,-53,-45
-5,-58,-26
-9,-64,-25
-13,-58,-33
-6,-57,-31
1,-62,-35
-11,-59,-37
-8,-63,-35
-1,-54,-37
-4,-49,-34
-7,-46,-32
-2,-45,-29
-4,-46,-36
-3,-47,-46
1,-53,-35
-19,-51,-29
4,-49,-48
9,-51,-50
-8,-47,-40
3,-47,-48
8,-48,-55
0,-48,-44
0,-45,-42
4,-38,-42
14,-30,-48
20,-29,-45
23,-26,-53
27,-27,-53
21,-35,-54
-3,-44,-33
-24,-48,-39
-11,-47,-49
-3,-45,-44
36,-42,-29
-21,-49,-75
3,-36,-41
37,-29,-59
27,-37,-39
-19,-93,-82
82,27,-80
-49,-128,-49
-41,-63,-48
-3,-47,-42
-2,-58,-39
-5,-55,-35
-3,-53,-38
5,-53,-35
4,-55,-32
6,-54,-34
14,-53,-36
26,-32,-27
11,-108,-28
1,-83,-22
26,-28,-32
11,-128,-55
19,22,-46
26,-52,-47
35,-58,-52
52,-90,-23
15,-46,-44
36,-54,-40
15,-37,-33
20,-23,-17
13,-20,-34
56,-41,-41
62,-44,-41
62,-47,-32
67,-46,-30
38,-37,-39
46,-31,-25
53,-28,-18
61,-15,-11
63,-14,-6
52,-12,-2
65,-8,13
63,-9,12
50,-3,21
54,-2,25
52,1,21
48,3,25
48,3,28
53,3,29
53,3,28
53,5,27
50,5,28
46,5,25
52,6,24
50,2,25
53,3,28
45,1,24
54,-2,30
57,1,33
57,1,32
46,3,27
54,0,25
65,1,28
61,2,29
55,4,29
58,1,29
59,0,26
59,-2,27
